ID,Song Name,Artist,Charter,Year,Genre,BPM,Difficulty,Download,Archive Link,Size
00070,Gourmet Race,Hirokazu Ando,Coryn,2001,VGM,190,8,foYEQJg3,00070. Gourmet Race - Hirokazu Ando [Coryn].zip,3812385
00071,Tank!,Seatbelts,Lordmau5,1998,Jazz,140,8,13b8nqve,00071. Cowboy Bebop - Tank! - Seatbelts [Lordmau5].zip,9839683
00072,Clickbait - Splatoon 3,Toru Minegishi,Tidiestflyer,2022,Eletric Pop,180,7,m7vVH9JF,00072. Clickbait - Toru Minegishi [Tidiestflyer].zip,5123677
00073,SORA-V Cosmic Bird,Torine,KnightC0re,2011,Electronic,135,8,jCR8qLuz,00073. Sora-V Cosmic Bird - Torine [KnightC0re].zip,7722719
00074,21st century schizoid man,King Crimson,aRVin,1969,Prog Rock,150,10,JmT3bqpP,00074. 21st Century Schizoid Man - King Crimson [aRVin].zip,10419152
00075,Undertale - Spider Dance,Toby Fox,Megajigglypuff714,2015,Undertale OST,115,10,usi2WfU6,00075. Spider Dance - Toby Fox [Megajigglypuff714].zip,1670924
00076,Friday Night,Tim Robinson,Kainxjm,2019,Funeral Songs,120,4,U7UWNjNK,00076. Friday Night - Tim Robinson [Kainxjm].zip,4048354
00077,wii sports,Nintendo,Plushel,2022,SPORTS!,120,9,hY7scK7F,00077. Wii Sports Theme - Kazumi Totaka [Plushel].zip,1675154
00078,OK K.O.! - Let's Watch The Show,Jake Kaufman,Illdie,2017,Good,125,5,zFuDdui3,00078. Let's Watch The Show - Jake Kaufman [Illdie] (MP4 Version).zip,42524876
00078,OK K.O.! - Let's Watch The Show,Jake Kaufman,Illdie,2017,Good,125,5,WKaskhBg,00078. Let's Watch The Show - Jake Kaufman [Illdie] (PNG Version).zip,6002692
00079,Sprite Cranberry (I Miss You),Bryan Cranston Crayon Box,Beric,2020,Holiday Ska,140,5,VCPjiLtc,00079. Sprite Cranberry (I Miss You) - Bryan Cranston Crayon Box [Beric].zip,5601292
00080,Roar of The Jungle Dragon,DM Dokuro,Foxeru,2018,Metal,250,7,Yas1UDnz,00080. Roar Of The Jungle Dragon - DM Dokuro [Foxeru].zip,8649952
00081,Bubblegum K.K.,Kazumi Totaka,DrewNG,2012,Bubblegum Pop,155,6,7zexi6yu,00081. Bubblegum K.K. -       Kazumi Totaka [DrewNG].zip,35460285
00082,Be Nice 2 Me,"Bladee, Ripsquadd",Oatmealy,2018,Rap,140,6,SxrurwKN,00082. Be Nice 2 Me - Bladee [Oatmealy].zip,8693808
